Area_Code,Area_Name
95MM10,Creggan Central
95MM11,Creggan South
95MM12,Crevagh
95MM13,Culmore
95MM14,Ebrington
95MM15,Eglinton
95MM16,Enagh
95MM17,Foyle Springs
95MM18,Holly Mount
95MM19,Kilfennan
95MM20,Lisnagelvin
95MM21,New Buildings
95MM22,Pennyburn
95MM23,Rosemount
95MM24,Shantallow East
95MM25,Shantallow West
95MM26,Springtown
95MM27,Strand
95MM28,The Diamond
95MM29,Victoria
95MM30,Westland
95NN01,Ardglass
95NN02,Audley's Acre
95NN03,Ballymaglave
95NN04,Ballymote
95NN05,Ballynahinch East
95NN06,Castlewellan
95NN07,Cathedral
95NN08,Crossgar
95NN09,Derryboy
95NN10,Donard
95NN11,Drumaness
95NN12,Dundrum
95NN13,Dunmore
95NN14,Killough
95NN15,Killyleagh
95NN16,Kilmore
95NN17,Murlough
95NN18,Quoile
95NN19,Saintfield
95NN20,Seaforde
95NN21,Shimna
95NN22,Strangford
95NN23,Tollymore
95OO01,Altmore
95OO02,Augher
95OO03,Aughnacloy
95OO04,Ballygawley
95OO05,Ballysaggart
95OO06,Benburb
95OO07,Caledon
95OO08,Castlecaulfield
95OO09,Clogher
95OO10,Coalisland North
95OO11,Coalisland South
95OO12,Coalisland West and Newmills
95OO13,Coolhill
95OO14,Donaghmore
95OO15,Drumglass
95OO16,Fivemiletown
95OO17,Killyman
95OO18,Killymeal
95OO19,Moy
95OO20,Moygashel
95OO21,Mullaghmore
95OO22,Washing Bay
95PP01,Ballinamallard
95PP02,Belcoo and Garrison
95PP03,Belleek and Boa
95PP04,Boho Cleenish and Letterbreen
95PP05,Brookeborough
95PP06,Castlecoole
95PP07,Derrygonnelly
95PP08,Derrylin
95PP09,Devenish
95PP10,Donagh
95PP11,Erne
95PP12,Florence Court and Kinawley
95PP13,Irvinestown
95PP14,Kesh Ederney and Lack
95PP15,Lisbellaw
95PP16,Lisnarrick
95PP17,Lisnaskea
95PP18,Maquires Bridge
95PP19,Newtownbutler
95PP20,Portora
95PP21,Rosslea
95PP22,Rossorry
95PP23,Tempo
95QQ01,Antiville
95QQ02,Ballycarry
95QQ03,Ballyloran
95QQ04,Blackcave
95QQ05,Carncastle
95QQ06,Carnlough
95QQ07,Central
95QQ08,Craigy Hill
95QQ09,Gardenmore
95QQ10,Glenarm
95QQ11,Glynn
95QQ12,Harbour
95QQ13,Island Magee
95QQ14,Kilwaughter
95QQ15,Town Parks
95RR01,Aghanloo
95RR02,Ballykelly
95RR03,Coolessan
95RR04,Dungiven
95RR05,Enagh
95RR06,Feeny
95RR07,Forest
95RR08,Glack
95RR09,Gresteel
95RR10,Greystone
95RR11,Magilligan
95RR12,Rathbrady
95RR13,Roeside
95RR14,The Highlands
95RR15,Upper Glenshane
95SS01,Ballinderry
95SS02,Ballymacash
95SS03,Ballymacbrennan
95SS04,Ballymacoss
95SS05,Blaris
95SS06,Collin Glen
95SS07,Derryaghy
95SS08,Dromara
95SS09,Drumbo
95SS10,Dunmurry
95SS11,Glenavy
95SS12,Harmony Hill
95SS13,Hilden
95SS14,Hillhall
95SS15,Hillsborough
95SS16,Kilwee
95SS17,Knockmore
95SS18,Lagan Valley
95SS19,Lambeg
95SS20,Lisnagarvey
95SS21,Maghaberry
95SS22,Magheralave
95SS23,Maze
95SS24,Moira
95SS25,Old Warren
95SS26,Poleglass
95SS27,Seymour Hill
95SS28,Tonagh
95SS29,Twinbrook
95SS30,Wallace Park
95TT01,Ballymaguigan
95TT02,Bellaghy
95TT03,Castledawson
95TT04,Draperstown
95TT05,Glebe
95TT06,Gulladuff
95TT07,Knockcloghrim
95TT08,Lecumpher
95TT09,Lower Glenshane
95TT10,Maghera
95TT11,Swatragh
95TT12,Tobermore
95TT13,Town Parks East
95TT14,Town Parks West
95TT15,Upperlands
95TT16,Valley
95UU01,Armoy
95UU02,Ballylough
95UU03,Bonamargy and Rathlin
95UU04,Bushmills
95UU05,Carnmoon
95UU06,Dalriada
95UU07,Dunseverick
95UU08,Glenaan
95UU09,Glenariff
95UU10,Glendun
95UU11,Glenshesk
95UU12,Glentaisie
95UU13,Kinbane
95UU14,Knocklayd
95UU15,Moss-side and Moyarget
95VV01,Annalong
95VV02,Ballybot
95VV03,Bessbrook
95VV04,Binnian
95VV05,Burren and Kilbroney
95VV06,Camlough
95VV07,Clonallan
95VV08,Creggan
95VV09,Crossmaglen
95VV10,Daisy hill
95VV11,Derryleckagh
95VV12,Derrymore
95VV13,Donaghmore
95VV14,Drumalane
95VV15,Drumgullion
95VV16,Fathom
95VV17,Forkhill
95VV18,Kilkeel Central
95VV19,Kilkeel South
95VV20,Lisnacree
95VV21,Mayobridge
95VV22,Newtownhamilton
95VV23,Rostrevor
95VV24,Seaview
95VV25,Silver Bridge
95VV26,Spelga
95VV27,St Mary's
95VV28,St Patrick's
95VV29,Tullyhappy
95VV30,Windsor Hill
95WW01,Abbey
95WW02,Ballyclare North
95WW03,Ballyclare South
95WW04,Ballyduff
95WW05,Ballyhenry
95WW06,Ballynure
95WW07,Ballyrobert
95WW08,Burnthill
95WW09,Carnmoney
95WW10,Cloughfern
95WW11,Collinbridge
95WW12,Coole
95WW13,Doagh
95WW14,Dunanney
95WW15,Glebe
95WW16,Glengormley
95WW17,Hawthorne
95WW18,Hightown
95WW19,Jordanstown
95WW20,Mallusk
95WW21,Monkstown
95WW22,Mossley
95WW23,Rostulla
95WW24,Valley
95WW25,Whitehouse
95XX01,Ballycrochan
95XX02,Ballyholme
95XX03,Ballymaconnell
95XX04,Ballymagee
95XX05,Bangor Castle
95XX06,Bloomfield
95XX07,Broadway
95XX08,Bryansburn
95XX09,Churchill
95XX10,Clandeboye
95XX11,Conlig
95XX12,Craigavad
95XX13,Crawfordsburn
95XX14,Cultra
95XX15,Dufferin
95XX16,Groomsport
95XX17,Harbour
95XX18,Holywood Demesne
95XX19,Holywood Priory
95XX20,Loughview
95XX21,Princetown
95XX22,Rathgael
95XX23,Silverstream
95XX24,Springhill
95XX25,Whitehill
95YY01,Beragh
95YY02,Camowen
95YY03,Clanabogan
95YY04,Coolnagard
95YY05,Dergmoney
95YY06,Dromore
95YY07,Drumnakilly
95YY08,Drumquin
95YY09,Drumragh
95YY10,Fairy Water
95YY11,Fintona
95YY12,Gortin
95YY13,Gortrush
95YY14,Killyclogher
95YY15,Lisanelly
95YY16,Newtownsaville
95YY17,Owenkillew
95YY18,Sixmilecross
95YY19,Strule
95YY20,Termon
95YY21,Trillick
95ZZ01,Artigarvan
95ZZ02,Ballycolman
95ZZ03,Castlederg
95ZZ04,Clare
95ZZ05,Dunnamanagh
95ZZ06,East
95ZZ07,Finn
95ZZ08,Glenderg
95ZZ09,Newtownstewart
95ZZ10,North
95ZZ11,Plumbridge
95ZZ12,Sion Mills
95ZZ13,Slievekirk
95ZZ14,South
95ZZ15,Victoria Bridge
95ZZ16,West
